ensembl_name	display_name	taxon_id	timetree_name	ucsc_name
homo_sapiens	Human	9606	Homo sapiens	hg38
pan_troglodytes	Chimpanzee	9598	Pan troglodytes	panTro6
gorilla_gorilla	Gorilla	9595	Gorilla gorilla	gorGor6
macaca_mulatta	Rhesus macaque	9544	Macaca mulatta	rheMac10
callithrix_jacchus	Marmoset	9483	Callithrix jacchus	calJac4
mus_musculus	Mouse	10090	Mus musculus	mm39
rattus_norvegicus	Rat	10116	Rattus norvegicus	rn7
oryctolagus_cuniculus	Rabbit	9986	Oryctolagus cuniculus	oryCun2
canis_lupus_familiaris	Dog	9615	Canis lupus familiaris	canFam6
felis_catus	Cat	9685	Felis catus	felCat9
bos_taurus	Cow	9913	Bos taurus	bosTau9
sus_scrofa	Pig	9823	Sus scrofa	susScr11
equus_caballus	Horse	9796	Equus caballus	equCab3
loxodonta_africana	Elephant	9785	Loxodonta africana	loxAfr3
monodelphis_domestica	Opossum	13616	Monodelphis domestica	monDom5
ornithorhynchus_anatinus	Platypus	9258	Ornithorhynchus anatinus	ornAna2
gallus_gallus	Chicken	9031	Gallus gallus	galGal6
anolis_carolinensis	Anole lizard	28377	Anolis carolinensis	anoCar2
xenopus_tropicalis	Frog	8364	Xenopus tropicalis	xenTro10
latimeria_chalumnae	Coelacanth	7897	Latimeria chalumnae	latCha1
lepisosteus_oculatus	Spotted gar	7918	Lepisosteus oculatus	lepOcu1
danio_rerio	Zebrafish	7955	Danio rerio	danRer11
takifugu_rubripes	Fugu	31033	Takifugu rubripes	fr3
petromyzon_marinus	Lamprey	7757	Petromyzon marinus	petMar3
