# SPDX-FileCopyrightText: 2026 Dong Lab, Yale School of Medicine <https://donglab.org>
#
# SPDX-License-Identifier: Apache-2.0

# This file lists the species the conservation view compares human genes
# against, one row per species. You can edit the set freely: add or remove
# rows, but keep the homo_sapiens row. Each row has five columns, which are
# separated by tabs:
#   ensembl_name    is the species' production name at Ensembl, written in
#                   lowercase with underscores. Orthologs are looked up by it,
#                   so it has to match Ensembl exactly.
#   display_name    is the label the atlas shows for the species.
#   taxon_id        is the species' NCBI Taxonomy id, which the build carries
#                   into the conservation table.
#   timetree_name   is the species' name at TimeTree. It is only used with
#                   --tree-source timetree.
#   ucsc_name       is the assembly name at UCSC. It is only used with
#                   --tree-source ucsc.
# Blank lines and lines starting with # are ignored.

ensembl_name	display_name	taxon_id	timetree_name	ucsc_name
homo_sapiens	Human	9606	Homo sapiens	hg38
pan_troglodytes	Chimpanzee	9598	Pan troglodytes	panTro6
macaca_mulatta	Rhesus macaque	9544	Macaca mulatta	rheMac10
mus_musculus	Mouse	10090	Mus musculus	mm39
rattus_norvegicus	Rat	10116	Rattus norvegicus	rn7
oryctolagus_cuniculus	Rabbit	9986	Oryctolagus cuniculus	oryCun2
canis_lupus_familiaris	Dog	9615	Canis lupus familiaris	canFam6
felis_catus	Cat	9685	Felis catus	felCat9
bos_taurus	Cow	9913	Bos taurus	bosTau9
sus_scrofa	Pig	9823	Sus scrofa	susScr11
equus_caballus	Horse	9796	Equus caballus	equCab3
loxodonta_africana	Elephant	9785	Loxodonta africana	loxAfr3
dasypus_novemcinctus	Armadillo	9361	Dasypus novemcinctus	dasNov3
monodelphis_domestica	Opossum	13616	Monodelphis domestica	monDom5
ornithorhynchus_anatinus	Platypus	9258	Ornithorhynchus anatinus	ornAna2
gallus_gallus	Chicken	9031	Gallus gallus	galGal6
taeniopygia_guttata	Zebra finch	59729	Taeniopygia guttata	taeGut2
anolis_carolinensis	Anole lizard	28377	Anolis carolinensis	anoCar2
chrysemys_picta_bellii	Painted turtle	8478	Chrysemys picta	chrPic2
xenopus_tropicalis	Frog	8364	Xenopus tropicalis	xenTro10
latimeria_chalumnae	Coelacanth	7897	Latimeria chalumnae	latCha1
danio_rerio	Zebrafish	7955	Danio rerio	danRer11
takifugu_rubripes	Fugu	31033	Takifugu rubripes	fr3
callorhinchus_milii	Elephant shark	7868	Callorhinchus milii	calMil1
petromyzon_marinus	Lamprey	7757	Petromyzon marinus	petMar3
ciona_intestinalis	Ciona	7719	Ciona intestinalis	ci3
